"region","species","yearqua","cpue_year","num_subarea_all_length","mean_prop_subarea","mean_num_subarea"
"Eastern Bering Sea","Atheresthes stomias",1982,238.061779269006,28,0.764285714285714,21.4
"Eastern Bering Sea","Atheresthes stomias",1983,513.931318328951,44,0.727272727272727,32
"Eastern Bering Sea","Atheresthes stomias",1984,641.631323194358,46,0.730434782608696,33.6
"Eastern Bering Sea","Atheresthes stomias",1985,482.2764010518,58,0.679310344827586,39.4
"Eastern Bering Sea","Atheresthes stomias",1986,843.538003814063,70,0.685714285714286,48
"Eastern Bering Sea","Atheresthes stomias",1987,971.427339660491,70,0.771428571428571,54
"Eastern Bering Sea","Atheresthes stomias",1988,1201.16443880893,64,0.725,46.4
"Eastern Bering Sea","Atheresthes stomias",1989,1521.84306342501,80,0.71,56.8
"Eastern Bering Sea","Atheresthes stomias",1990,1253.69783946008,70,0.711428571428571,49.8
"Eastern Bering Sea","Atheresthes stomias",1991,930.043381881996,68,0.673529411764706,45.8
"Eastern Bering Sea","Atheresthes stomias",1992,959.475235496092,57,0.726315789473684,41.4
"Eastern Bering Sea","Atheresthes stomias",1993,1214.34522461893,81,0.723456790123457,58.6
"Eastern Bering Sea","Atheresthes stomias",1994,1320.33228770141,70,0.782857142857143,54.8
"Eastern Bering Sea","Atheresthes stomias",1995,1212.41672613542,64,0.765625,49
"Eastern Bering Sea","Atheresthes stomias",1996,1082.77370580168,82,0.729268292682927,59.8
"Eastern Bering Sea","Atheresthes stomias",1997,975.99502238237,65,0.756923076923077,49.2
"Eastern Bering Sea","Atheresthes stomias",1998,854.180796011289,76,0.776315789473684,59
"Eastern Bering Sea","Atheresthes stomias",1999,681.91353579686,56,0.739285714285714,41.4
"Eastern Bering Sea","Atheresthes stomias",2000,875.366853819686,69,0.788405797101449,54.4
"Eastern Bering Sea","Atheresthes stomias",2001,1091.27710636318,83,0.775903614457831,64.4
"Eastern Bering Sea","Atheresthes stomias",2002,967.989196375659,82,0.714634146341463,58.6
"Eastern Bering Sea","Atheresthes stomias",2003,1496.41212673079,101,0.766336633663366,77.4
"Eastern Bering Sea","Atheresthes stomias",2004,1780.39068823599,103,0.774757281553398,79.8
"Eastern Bering Sea","Atheresthes stomias",2005,2184.17965091574,116,0.794827586206897,92.2
"Eastern Bering Sea","Atheresthes stomias",2006,1710.5092888607,87,0.779310344827586,67.8
"Eastern Bering Sea","Atheresthes stomias",2007,1590.78151181075,76,0.776315789473684,59
"Eastern Bering Sea","Atheresthes stomias",2008,1644.83517356224,89,0.761797752808989,67.8
"Eastern Bering Sea","Atheresthes stomias",2009,1269.20785400617,72,0.738888888888889,53.2
"Eastern Bering Sea","Atheresthes stomias",2010,1574.22573235533,77,0.805194805194805,62
"Eastern Bering Sea","Atheresthes stomias",2011,1399.47123846143,95,0.76,72.2
"Eastern Bering Sea","Atheresthes stomias",2012,1247.82945847055,72,0.791666666666667,57
"Eastern Bering Sea","Atheresthes stomias",2013,980.667115282863,73,0.778082191780822,56.8
"Eastern Bering Sea","Atheresthes stomias",2014,1230.73789229361,95,0.68,64.6
"Eastern Bering Sea","Atheresthes stomias",2015,1003.76983262966,88,0.740909090909091,65.2
"Eastern Bering Sea","Atheresthes stomias",2016,1324.43051627495,117,0.806837606837607,94.4
"Eastern Bering Sea","Atheresthes stomias",2017,1135.16076789734,95,0.745263157894737,70.8
"Eastern Bering Sea","Atheresthes stomias",2018,1542.62668747823,139,0.785611510791367,109.2
"Eastern Bering Sea","Atheresthes stomias",2019,1469.7886847083,129,0.748837209302326,96.6
"Eastern Bering Sea","Gadus chalcogrammus",1982,10233.4489505092,133,0.781954887218045,104
"Eastern Bering Sea","Gadus chalcogrammus",1983,18345.1000386858,147,0.738775510204082,108.6
"Eastern Bering Sea","Gadus chalcogrammus",1984,8152.50111927164,142,0.630985915492958,89.6
"Eastern Bering Sea","Gadus chalcogrammus",1985,15211.0587853763,151,0.672847682119205,101.6
"Eastern Bering Sea","Gadus chalcogrammus",1986,11536.8038434947,150,0.689333333333333,103.4
"Eastern Bering Sea","Gadus chalcogrammus",1987,8983.70190653582,143,0.697902097902098,99.8
"Eastern Bering Sea","Gadus chalcogrammus",1988,13670.5945821225,158,0.664556962025316,105
"Eastern Bering Sea","Gadus chalcogrammus",1989,12222.4005358381,156,0.673076923076923,105
"Eastern Bering Sea","Gadus chalcogrammus",1990,13507.1829151532,155,0.669677419354839,103.8
"Eastern Bering Sea","Gadus chalcogrammus",1991,10048.0805669275,162,0.67037037037037,108.6
"Eastern Bering Sea","Gadus chalcogrammus",1992,9113.80548830257,151,0.642384105960265,97
"Eastern Bering Sea","Gadus chalcogrammus",1993,12068.5464037527,160,0.69875,111.8
"Eastern Bering Sea","Gadus chalcogrammus",1994,10899.167011118,164,0.640243902439024,105
"Eastern Bering Sea","Gadus chalcogrammus",1995,12356.9031839842,159,0.623899371069182,99.2
"Eastern Bering Sea","Gadus chalcogrammus",1996,8059.44076344977,160,0.7,112
"Eastern Bering Sea","Gadus chalcogrammus",1997,10126.9760531703,155,0.683870967741935,106
"Eastern Bering Sea","Gadus chalcogrammus",1998,6253.37456315801,158,0.756962025316456,119.6
"Eastern Bering Sea","Gadus chalcogrammus",1999,9168.52616125394,162,0.638271604938272,103.4
"Eastern Bering Sea","Gadus chalcogrammus",2000,10396.7718220415,159,0.660377358490566,105
"Eastern Bering Sea","Gadus chalcogrammus",2001,9726.70242374688,165,0.726060606060606,119.8
"Eastern Bering Sea","Gadus chalcogrammus",2002,9152.64386557561,160,0.70875,113.4
"Eastern Bering Sea","Gadus chalcogrammus",2003,12084.3111986641,157,0.699363057324841,109.8
"Eastern Bering Sea","Gadus chalcogrammus",2004,5971.50354600451,161,0.725465838509317,116.8
"Eastern Bering Sea","Gadus chalcogrammus",2005,7979.24318950657,160,0.68,108.8
"Eastern Bering Sea","Gadus chalcogrammus",2006,5924.73339769938,154,0.635064935064935,97.8
"Eastern Bering Sea","Gadus chalcogrammus",2007,9544.2404784699,153,0.545098039215686,83.4
"Eastern Bering Sea","Gadus chalcogrammus",2008,5100.73480485746,144,0.593055555555556,85.4
"Eastern Bering Sea","Gadus chalcogrammus",2009,5072.38307373586,157,0.523566878980892,82.2
"Eastern Bering Sea","Gadus chalcogrammus",2010,6361.66427560884,138,0.617391304347826,85.2
"Eastern Bering Sea","Gadus chalcogrammus",2011,6917.46665910705,156,0.662820512820513,103.4
"Eastern Bering Sea","Gadus chalcogrammus",2012,8519.16528858059,157,0.648407643312102,101.8
"Eastern Bering Sea","Gadus chalcogrammus",2013,9256.99214095468,160,0.66875,107
"Eastern Bering Sea","Gadus chalcogrammus",2014,13883.611644703,164,0.734146341463415,120.4
"Eastern Bering Sea","Gadus chalcogrammus",2015,11885.6294705861,162,0.797530864197531,129.2
"Eastern Bering Sea","Gadus chalcogrammus",2016,9342.44319343931,161,0.803726708074534,129.4
"Eastern Bering Sea","Gadus chalcogrammus",2017,9648.95933471826,161,0.782608695652174,126
"Eastern Bering Sea","Gadus chalcogrammus",2018,6794.92747235652,164,0.828048780487805,135.8
"Eastern Bering Sea","Gadus chalcogrammus",2019,10037.1369116135,165,0.802424242424242,132.4
"Eastern Bering Sea","Gadus macrocephalus",1982,1096.84382054412,141,0.727659574468085,102.6
"Eastern Bering Sea","Gadus macrocephalus",1983,1432.62629342979,120,0.771666666666667,92.6
"Eastern Bering Sea","Gadus macrocephalus",1984,1164.15628264849,129,0.764341085271318,98.6
"Eastern Bering Sea","Gadus macrocephalus",1985,1547.92598265929,151,0.756291390728477,114.2
"Eastern Bering Sea","Gadus macrocephalus",1986,1455.03561419163,146,0.776712328767123,113.4
"Eastern Bering Sea","Gadus macrocephalus",1987,1470.46273321241,148,0.758108108108108,112.2
"Eastern Bering Sea","Gadus macrocephalus",1988,1247.42187171058,149,0.645637583892617,96.2
"Eastern Bering Sea","Gadus macrocephalus",1989,823.831401086226,132,0.587878787878788,77.6
"Eastern Bering Sea","Gadus macrocephalus",1990,1111.62978060628,145,0.582068965517241,84.4
"Eastern Bering Sea","Gadus macrocephalus",1991,1111.52898865187,152,0.603947368421053,91.8
"Eastern Bering Sea","Gadus macrocephalus",1992,1103.17732950814,146,0.702739726027397,102.6
"Eastern Bering Sea","Gadus macrocephalus",1993,1673.21487368726,156,0.696153846153846,108.6
"Eastern Bering Sea","Gadus macrocephalus",1994,2551.28607227694,158,0.748101265822785,118.2
"Eastern Bering Sea","Gadus macrocephalus",1995,1669.88310947247,152,0.697368421052632,106
"Eastern Bering Sea","Gadus macrocephalus",1996,1275.71745892522,161,0.66832298136646,107.6
"Eastern Bering Sea","Gadus macrocephalus",1997,1109.70046345657,156,0.684615384615385,106.8
"Eastern Bering Sea","Gadus macrocephalus",1998,1063.96599340457,157,0.718471337579618,112.8
"Eastern Bering Sea","Gadus macrocephalus",1999,971.701296277833,148,0.65945945945946,97.6
"Eastern Bering Sea","Gadus macrocephalus",2000,981.592187209747,154,0.675324675324675,104
"Eastern Bering Sea","Gadus macrocephalus",2001,1590.10105587656,164,0.751219512195122,123.2
"Eastern Bering Sea","Gadus macrocephalus",2002,1011.47180894004,161,0.719254658385093,115.8
"Eastern Bering Sea","Gadus macrocephalus",2003,986.823855432252,157,0.736305732484076,115.6
"Eastern Bering Sea","Gadus macrocephalus",2004,819.212519189263,158,0.706329113924051,111.6
"Eastern Bering Sea","Gadus macrocephalus",2005,854.45535404639,158,0.724050632911392,114.4
"Eastern Bering Sea","Gadus macrocephalus",2006,820.106882401584,150,0.702666666666667,105.4
"Eastern Bering Sea","Gadus macrocephalus",2007,1530.13412559487,159,0.69811320754717,111
"Eastern Bering Sea","Gadus macrocephalus",2008,839.800397452381,145,0.702068965517241,101.8
"Eastern Bering Sea","Gadus macrocephalus",2009,1239.15005324111,153,0.674509803921569,103.2
"Eastern Bering Sea","Gadus macrocephalus",2010,1443.99935117613,149,0.711409395973154,106
"Eastern Bering Sea","Gadus macrocephalus",2011,1451.58431245254,159,0.753459119496855,119.8
"Eastern Bering Sea","Gadus macrocephalus",2012,1664.86766629819,156,0.726923076923077,113.4
"Eastern Bering Sea","Gadus macrocephalus",2013,1197.80544166026,155,0.780645161290323,121
"Eastern Bering Sea","Gadus macrocephalus",2014,1854.12770473791,164,0.768292682926829,126
"Eastern Bering Sea","Gadus macrocephalus",2015,1403.70857585843,157,0.75031847133758,117.8
"Eastern Bering Sea","Gadus macrocephalus",2016,1006.73827319571,163,0.734969325153374,119.8
"Eastern Bering Sea","Gadus macrocephalus",2017,749.450859761118,162,0.732098765432099,118.6
"Eastern Bering Sea","Gadus macrocephalus",2018,558.543824601456,161,0.650931677018634,104.8
"Eastern Bering Sea","Gadus macrocephalus",2019,900.254753469694,164,0.682926829268293,112
"Eastern Bering Sea","Hippoglossoides elassodon",1982,1266.33730517074,71,0.802816901408451,57
"Eastern Bering Sea","Hippoglossoides elassodon",1983,1654.84007668924,95,0.848421052631579,80.6
"Eastern Bering Sea","Hippoglossoides elassodon",1984,1639.5128623565,81,0.819753086419753,66.4
"Eastern Bering Sea","Hippoglossoides elassodon",1985,1313.68501009172,98,0.777551020408163,76.2
"Eastern Bering Sea","Hippoglossoides elassodon",1986,2002.56773135151,121,0.770247933884298,93.2
"Eastern Bering Sea","Hippoglossoides elassodon",1987,1789.6324934062,97,0.781443298969072,75.8
"Eastern Bering Sea","Hippoglossoides elassodon",1988,3227.72706171438,104,0.819230769230769,85.2
"Eastern Bering Sea","Hippoglossoides elassodon",1989,2999.82586814007,120,0.82,98.4
"Eastern Bering Sea","Hippoglossoides elassodon",1990,2824.79266955934,121,0.809917355371901,98
"Eastern Bering Sea","Hippoglossoides elassodon",1991,2631.8808095931,124,0.77258064516129,95.8
"Eastern Bering Sea","Hippoglossoides elassodon",1992,3105.9473020944,120,0.738333333333333,88.6
"Eastern Bering Sea","Hippoglossoides elassodon",1993,2657.53088655664,129,0.761240310077519,98.2
"Eastern Bering Sea","Hippoglossoides elassodon",1994,3032.28612158813,129,0.778294573643411,100.4
"Eastern Bering Sea","Hippoglossoides elassodon",1995,2482.79902968555,127,0.72755905511811,92.4
"Eastern Bering Sea","Hippoglossoides elassodon",1996,2853.83506786141,133,0.780451127819549,103.8
"Eastern Bering Sea","Hippoglossoides elassodon",1997,2661.28908331939,127,0.733858267716535,93.2
"Eastern Bering Sea","Hippoglossoides elassodon",1998,2526.38024299019,140,0.787142857142857,110.2
"Eastern Bering Sea","Hippoglossoides elassodon",1999,1512.46890074081,112,0.744642857142857,83.4
"Eastern Bering Sea","Hippoglossoides elassodon",2000,1597.77185984447,128,0.7390625,94.6
"Eastern Bering Sea","Hippoglossoides elassodon",2001,2258.40612298945,134,0.753731343283582,101
"Eastern Bering Sea","Hippoglossoides elassodon",2002,2130.04394281336,133,0.724812030075188,96.4
"Eastern Bering Sea","Hippoglossoides elassodon",2003,2194.12009916459,129,0.758139534883721,97.8
"Eastern Bering Sea","Hippoglossoides elassodon",2004,2348.12172541443,128,0.7578125,97
"Eastern Bering Sea","Hippoglossoides elassodon",2005,2650.4178503712,133,0.781954887218045,104
"Eastern Bering Sea","Hippoglossoides elassodon",2006,2764.33752020107,117,0.81025641025641,94.8
"Eastern Bering Sea","Hippoglossoides elassodon",2007,2471.43661929879,118,0.757627118644068,89.4
"Eastern Bering Sea","Hippoglossoides elassodon",2008,2360.66400664665,117,0.758974358974359,88.8
"Eastern Bering Sea","Hippoglossoides elassodon",2009,1780.01349841482,107,0.71214953271028,76.2
"Eastern Bering Sea","Hippoglossoides elassodon",2010,1923.97488945102,117,0.666666666666667,78
"Eastern Bering Sea","Hippoglossoides elassodon",2011,2313.4046720254,122,0.70655737704918,86.2
"Eastern Bering Sea","Hippoglossoides elassodon",2012,1710.75219108436,112,0.660714285714286,74
"Eastern Bering Sea","Hippoglossoides elassodon",2013,2025.96307886686,119,0.670588235294118,79.8
"Eastern Bering Sea","Hippoglossoides elassodon",2014,2665.19489291133,128,0.671875,86
"Eastern Bering Sea","Hippoglossoides elassodon",2015,1719.25458597208,117,0.728205128205128,85.2
"Eastern Bering Sea","Hippoglossoides elassodon",2016,2033.10405086609,129,0.767441860465116,99
"Eastern Bering Sea","Hippoglossoides elassodon",2017,2491.91090222393,121,0.808264462809917,97.8
"Eastern Bering Sea","Hippoglossoides elassodon",2018,2813.08046080676,143,0.822377622377622,117.6
"Eastern Bering Sea","Hippoglossoides elassodon",2019,3108.42043183989,147,0.8,117.6
"Eastern Bering Sea","Hippoglossus stenolepis",1982,122.516737004229,92,0.402173913043478,37
"Eastern Bering Sea","Hippoglossus stenolepis",1983,107.393256936575,89,0.4,35.6
"Eastern Bering Sea","Hippoglossus stenolepis",1984,118.386618209263,88,0.434090909090909,38.2
"Eastern Bering Sea","Hippoglossus stenolepis",1985,87.4540449753816,89,0.408988764044944,36.4
"Eastern Bering Sea","Hippoglossus stenolepis",1986,96.9159540122134,94,0.414893617021277,39
"Eastern Bering Sea","Hippoglossus stenolepis",1987,84.3769088192361,89,0.449438202247191,40
"Eastern Bering Sea","Hippoglossus stenolepis",1988,103.597655171344,97,0.385567010309278,37.4
"Eastern Bering Sea","Hippoglossus stenolepis",1989,106.521688780745,97,0.395876288659794,38.4
"Eastern Bering Sea","Hippoglossus stenolepis",1990,175.132624990245,92,0.395652173913043,36.4
"Eastern Bering Sea","Hippoglossus stenolepis",1991,199.65111942832,104,0.45,46.8
"Eastern Bering Sea","Hippoglossus stenolepis",1992,142.438072600072,111,0.425225225225225,47.2
"Eastern Bering Sea","Hippoglossus stenolepis",1993,169.910667977898,113,0.467256637168142,52.8
"Eastern Bering Sea","Hippoglossus stenolepis",1994,166.713686895051,129,0.477519379844961,61.6
"Eastern Bering Sea","Hippoglossus stenolepis",1995,125.140669000689,116,0.453448275862069,52.6
"Eastern Bering Sea","Hippoglossus stenolepis",1996,120.895267025447,118,0.438983050847458,51.8
"Eastern Bering Sea","Hippoglossus stenolepis",1997,122.073821719913,111,0.455855855855856,50.6
"Eastern Bering Sea","Hippoglossus stenolepis",1998,137.58710258772,119,0.445378151260504,53
"Eastern Bering Sea","Hippoglossus stenolepis",1999,146.340000681911,117,0.487179487179487,57
"Eastern Bering Sea","Hippoglossus stenolepis",2000,120.916867836119,115,0.43304347826087,49.8
"Eastern Bering Sea","Hippoglossus stenolepis",2001,165.582147621613,130,0.473846153846154,61.6
"Eastern Bering Sea","Hippoglossus stenolepis",2002,126.724395694524,116,0.474137931034483,55
"Eastern Bering Sea","Hippoglossus stenolepis",2003,208.296479050617,124,0.456451612903226,56.6
"Eastern Bering Sea","Hippoglossus stenolepis",2004,206.403778344325,120,0.481666666666667,57.8
"Eastern Bering Sea","Hippoglossus stenolepis",2005,206.39580696728,126,0.519047619047619,65.4
"Eastern Bering Sea","Hippoglossus stenolepis",2006,337.848588428908,142,0.530985915492958,75.4
"Eastern Bering Sea","Hippoglossus stenolepis",2007,287.574165923316,128,0.5296875,67.8
"Eastern Bering Sea","Hippoglossus stenolepis",2008,276.560717798626,139,0.522302158273381,72.6
"Eastern Bering Sea","Hippoglossus stenolepis",2009,260.802304701817,127,0.577952755905512,73.4
"Eastern Bering Sea","Hippoglossus stenolepis",2010,279.926849549524,128,0.5890625,75.4
"Eastern Bering Sea","Hippoglossus stenolepis",2011,283.822442234089,130,0.558461538461538,72.6
"Eastern Bering Sea","Hippoglossus stenolepis",2012,230.703731992185,126,0.555555555555556,70
"Eastern Bering Sea","Hippoglossus stenolepis",2013,194.564624123379,122,0.537704918032787,65.6
"Eastern Bering Sea","Hippoglossus stenolepis",2014,213.929147399964,130,0.483076923076923,62.8
"Eastern Bering Sea","Hippoglossus stenolepis",2015,212.300554711647,119,0.519327731092437,61.8
"Eastern Bering Sea","Hippoglossus stenolepis",2016,182.111944577148,120,0.505,60.6
"Eastern Bering Sea","Hippoglossus stenolepis",2017,179.172383900193,114,0.491228070175439,56
"Eastern Bering Sea","Hippoglossus stenolepis",2018,169.272930610713,120,0.515,61.8
"Eastern Bering Sea","Hippoglossus stenolepis",2019,207.80647355956,111,0.493693693693694,54.8
"Eastern Bering Sea","Limanda aspera",1982,22472.0475144296,109,0.787155963302752,85.8
"Eastern Bering Sea","Limanda aspera",1983,15698.1773006367,111,0.78018018018018,86.6
"Eastern Bering Sea","Limanda aspera",1984,14834.372842921,112,0.753571428571429,84.4
"Eastern Bering Sea","Limanda aspera",1985,11598.3637287181,115,0.735652173913043,84.6
"Eastern Bering Sea","Limanda aspera",1986,7907.29302171326,106,0.752830188679245,79.8
"Eastern Bering Sea","Limanda aspera",1987,11045.3564589622,100,0.834,83.4
"Eastern Bering Sea","Limanda aspera",1988,9903.02952115644,112,0.7375,82.6
"Eastern Bering Sea","Limanda aspera",1989,9536.84506456974,106,0.822641509433962,87.2
"Eastern Bering Sea","Limanda aspera",1990,8413.77363364963,109,0.759633027522936,82.8
"Eastern Bering Sea","Limanda aspera",1991,11126.6955475142,111,0.812612612612613,90.2
"Eastern Bering Sea","Limanda aspera",1992,9377.3128603294,104,0.788461538461538,82
"Eastern Bering Sea","Limanda aspera",1993,10492.8199841791,110,0.792727272727273,87.2
"Eastern Bering Sea","Limanda aspera",1994,10429.69231555,120,0.755,90.6
"Eastern Bering Sea","Limanda aspera",1995,9185.20347615391,108,0.796296296296296,86
"Eastern Bering Sea","Limanda aspera",1996,10125.5368223122,110,0.785454545454545,86.4
"Eastern Bering Sea","Limanda aspera",1997,9355.22364019467,115,0.791304347826087,91
"Eastern Bering Sea","Limanda aspera",1998,9518.51836290675,135,0.777777777777778,105
"Eastern Bering Sea","Limanda aspera",1999,5775.69961588312,125,0.7616,95.2
"Eastern Bering Sea","Limanda aspera",2000,7494.07832776898,115,0.784347826086957,90.2
"Eastern Bering Sea","Limanda aspera",2001,8360.28850882601,116,0.779310344827586,90.4
"Eastern Bering Sea","Limanda aspera",2002,8205.41358810811,109,0.759633027522936,82.8
"Eastern Bering Sea","Limanda aspera",2003,8586.74930249081,106,0.790566037735849,83.8
"Eastern Bering Sea","Limanda aspera",2004,9689.79545851857,112,0.773214285714286,86.6
"Eastern Bering Sea","Limanda aspera",2005,10284.205090497,114,0.756140350877193,86.2
"Eastern Bering Sea","Limanda aspera",2006,8609.68422864508,109,0.777981651376147,84.8
"Eastern Bering Sea","Limanda aspera",2007,9279.60342598213,109,0.768807339449541,83.8
"Eastern Bering Sea","Limanda aspera",2008,9782.96911008526,105,0.777142857142857,81.6
"Eastern Bering Sea","Limanda aspera",2009,8624.64512502764,104,0.794230769230769,82.6
"Eastern Bering Sea","Limanda aspera",2010,11286.8511444072,101,0.811881188118812,82
"Eastern Bering Sea","Limanda aspera",2011,10530.6341227615,100,0.784,78.4
"Eastern Bering Sea","Limanda aspera",2012,8853.79601909486,105,0.792380952380952,83.2
"Eastern Bering Sea","Limanda aspera",2013,9048.15315988598,102,0.762745098039216,77.8
"Eastern Bering Sea","Limanda aspera",2014,10161.4707167705,100,0.784,78.4
"Eastern Bering Sea","Limanda aspera",2015,7061.46791950105,97,0.769072164948454,74.6
"Eastern Bering Sea","Limanda aspera",2016,9375.83182923899,104,0.761538461538461,79.2
"Eastern Bering Sea","Limanda aspera",2017,12120.8831315498,115,0.740869565217391,85.2
"Eastern Bering Sea","Limanda aspera",2018,10152.5662762557,117,0.762393162393162,89.2
"Eastern Bering Sea","Limanda aspera",2019,6963.9679887578,116,0.768965517241379,89.2
"Eastern Bering Sea","Pleuronectes quadrituberculatus",1982,1729.4666257,86,0.748837209302326,64.4
"Eastern Bering Sea","Pleuronectes quadrituberculatus",1983,1384.3331878,63,0.831746031746032,52.4
"Eastern Bering Sea","Pleuronectes quadrituberculatus",1984,1410.8602892,76,0.78421052631579,59.6
"Eastern Bering Sea","Pleuronectes quadrituberculatus",1985,1333.8613678,89,0.768539325842697,68.4
"Eastern Bering Sea","Pleuronectes quadrituberculatus",1986,1318.3757789,106,0.726415094339623,77
"Eastern Bering Sea","Pleuronectes quadrituberculatus",1987,1333.4508878,87,0.705747126436782,61.4
"Eastern Bering Sea","Pleuronectes quadrituberculatus",1988,1657.2505323,88,0.688636363636364,60.6
"Eastern Bering Sea","Pleuronectes quadrituberculatus",1989,1070.5989362,94,0.719148936170213,67.6
"Eastern Bering Sea","Pleuronectes quadrituberculatus",1990,1128.0165324,99,0.658585858585859,65.2
